meta_categ_name,item_price_bucket,Time_Series,Random_Forest,Linear_Regression,Weekly_Avg_BI,ASP
Everything Else,£10-£20,-5.43,-0.51,-0.29,377.9756098,15.18230769
Vehicle Parts & Accessories,<= £3,-0.51,-0.11,-0.23,3769.609756,2.14912534
Sporting Goods,<= £3,-0.27,-0.18,-0.21,3829.829268,2.06003818
Sports Memorabilia,<= £3,-1.08,-0.59,-0.7,10191.43902,1.78260434
Mobile Phones & Communication,£20-£50,-2.94,-0.71,-0.19,3666.365854,33.4317252
Holidays & Travel,£50+,1.9,-0.52,-0.5,22.09756098,406.0912821
Garden & Patio,£10-£20,12.34,0.12,0.48,4312.658537,14.91261789
"Pottery, Ceramics & Glass",£50+,-9.96,-0.67,-0.35,1359.170732,119.7030258
Health & Beauty,£3-£10,-1.34,0.14,-0.35,39499.14634,6.95849855
Toys & Games,£10-£20,-6.7,-1.05,-0.6,31402.85366,15.21398102
"Books, Comics & Magazines",£10-£20,-4.49,-1.32,-0.48,9247.365854,14.99237952
"Pottery, Ceramics & Glass",£20-£50,-10.34,-0.13,-0.39,3536.609756,31.80338621
Sound & Vision,<= £3,-0.72,-0.33,-0.74,1221.170732,2.0038017
Music,£20-£50,-4.32,-0.55,-0.27,6264.926829,31.44463995
Computers/Tablets & Networking,£50+,,0.04,,13065.80488,223.645783
Toys & Games,£20-£50,-12.14,-2.18,-0.5,27441.80488,31.94529676
Music,£10-£20,-3.86,-0.76,-0.38,9589.658537,15.07690314
Everything Else,<= £3,-0.81,0.19,-0.91,364.4878049,2.07797094
Jewellery & Watches,£50+,-0.76,-0.35,-0.24,7991.170732,336.6024395
Events Tickets,£50+,7.04,-1.25,-0.54,153.1463415,83.48642067
Sound & Vision,£50+,-2.16,-0.4,-0.3,7604.341463,191.9798541
Health & Beauty,£50+,-3.63,-0.22,-0.31,7529.536585,122.1975871
Mobile Phones & Communication,£10-£20,-3.28,-1.17,-0.38,3448.243902,15.15546732
Art,<= £3,-0.45,-0.62,-0.5,435.4146341,2.02946441
Art,£20-£50,-5.57,-1.33,-0.37,1018.878049,32.97190071
"Business, Office & Industrial",£3-£10,-1.99,-0.38,-0.47,12159.5122,6.63890062
Coins,£10-£20,-3.36,-0.95,-0.43,2706.487805,15.02621975
Cameras & Photography,£50+,-0.87,0.03,-0.08,6739.780488,280.5617846
"Home, Furniture & DIY",£10-£20,-5.96,-2.05,-0.59,35549.4878,15.10034716
Baby,£20-£50,-3.23,-0.41,-0.28,1462.536585,32.77259752
Jewellery & Watches,£20-£50,-5.86,-1.81,-0.41,6886.195122,32.87764709
Stamps,£10-£20,-2.88,-0.12,-0.49,1205.317073,14.69389511
Computers/Tablets & Networking,£20-£50,-2.47,,-0.19,9487.878049,34.38250607
Sporting Goods,£50+,0.78,0.01,0.08,18963.2439,191.116542
Sound & Vision,£10-£20,-2.79,-0.57,-0.28,4026.609756,15.74423089
Holidays & Travel,£3-£10,31.61,-1.86,-0.76,25.53658537,5.80707399
"Books, Comics & Magazines",£3-£10,-3.39,-0.57,-0.53,22989.4878,6.4545269
Cameras & Photography,£10-£20,-2.73,-0.44,-0.22,2498.902439,15.6007834
Vehicle Parts & Accessories,£3-£10,-0.42,-0.26,-0.08,18048.70732,6.97930811
Musical Instruments & DJ Equipment,£20-£50,-3.51,-0.78,-0.16,3225.146341,35.71643988
Films & TV,£10-£20,-3.13,-0.71,-0.42,5183.341463,14.90635902
Pet Supplies,<= £3,-1.09,-0.42,-0.59,1373.829268,2.20324765
Art,£10-£20,-5.52,-1.29,-0.49,1093.707317,15.51740248
Antiques,£10-£20,-4.77,-0.76,-0.29,1524.731707,15.7648134
Wholesale & Job Lots,£50+,-9.98,-0.84,-0.2,136.5853659,146.1918066
Mobile Phones & Communication,£3-£10,-2.19,-0.41,-0.48,6803.658537,6.42363423
"Clothes, Shoes & Accessories",£3-£10,-1.46,-0.38,-0.18,97372.19512,6.66879276
Music,£50+,-3.09,-1.15,-0.22,2250.536585,113.4611228
Toys & Games,£3-£10,-2.52,0.19,-0.61,45947.97561,6.76553912
Baby,<= £3,0.07,0.02,-0.44,580.8292683,2.07994984
